channel_label,channel_handle,video_id,video_title,published_at,view_count,like_count,comment_count,duration_sec,video_type
ISEGYE_IDOL,isegyeidol_ofcl,Nf_HUqHkK5Y,(SUB) 이세계아이돌(ISEGYE IDOL) 가을 운동회 🍁 | ISEGYE IDOL Highlight,2025-11-18T09:00:20Z,101865,7437,587,1778.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,AVYTgNXz-5E,세돌이들을 향한 나의 마음 = 전라남도 여수시 소라면 사곡리 산 94 🥰 #이세계아이돌 #ISEGYEIDOL #BeMyLight #Nameless #shorts,2025-11-15T15:00:24Z,143548,10900,374,60.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,bREQV5ilEd0,비마라 제복 세돌이들이 넘모 예뿐데요 🫶🏻…💗 #이세계아이돌 #ISEGYEIDOL #BeMyLight #Nameless #shorts,2025-11-15T15:00:19Z,171746,13388,371,58.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,zFmKBpHrKY8,이세계아이돌(ISEGYE IDOL) 'Be My Light' Official Performance MV,2025-11-15T15:00:01Z,1898164,18274,2129,227.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,m1VZgjqC4Ck,Nameless with #징버거 #주르르 💛🩷 #JINGBURGER #JURURU #이세계아이돌 #ISEGYEIDOL #Nameless #Nameless_Challenge,2025-11-13T15:01:24Z,508843,14725,480,24.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,CaPTo9tfL-o,Nameless with #아이네 #릴파 💜💙 #INE #LILPA #이세계아이돌 #ISEGYEIDOL #Nameless #Nameless_Challenge,2025-11-13T15:00:31Z,419947,14258,456,25.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,2D8tgIVpRfY,Nameless with #고세구 #비챤 🩵💚 #GOSEGU #VIICHAN #이세계아이돌 #ISEGYEIDOL #Nameless #Nameless_Challenge,2025-11-13T15:00:04Z,598823,15240,418,21.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,4xINNwST0Jc,Nameless with #릴파 #LILPA 💙 #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #Nameless_Challenge #shorts,2025-11-13T09:00:10Z,340793,12735,393,24.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,fikuANVm79s,Nameless with #주르르 #JURURU 🩷 #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #Nameless_Challenge #shorts,2025-11-12T09:01:07Z,388686,13228,477,23.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,2JG8h9AgnGQ,이세계아이돌(ISEGYE IDOL)이 전하는 2026학년도 대학수학능력시험 응원 메시지,2025-11-12T08:00:03Z,61273,8712,1045,73.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,Ko0XtWlecPE,Nameless with #아이네 #INE 💜 #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #Nameless_Challenge #shorts,2025-11-11T09:00:20Z,502150,17892,715,25.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,99RXxW-LZjw,Nameless with #비챤 #VIICHAN 💚 #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #Nameless_Challenge #shorts,2025-11-10T09:00:15Z,371717,13205,519,24.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,aI-KxTrhq50,(SUB) 이세계아이돌(ISEGYE IDOL)의 반짝이는 밤 🌃 | ISEGYE IDOL Highlight,2025-11-10T08:00:01Z,98266,7520,527,1045.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,17QUbB3fRec,Nameless with #징버거 #JINGBURGER 💛 #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #Nameless_Challenge,2025-11-09T09:00:02Z,422579,15404,440,23.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,agZ13kzCecg,Nameless with #고세구 #GOSEGU 🩵 #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #Nameless_Challenge #shorts,2025-11-08T09:00:02Z,419765,14439,479,24.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,NVNLc5mpK_Q,이세계아이돌(ISEGYE IDOL) 'Esquire' Behind the Scenes,2025-11-07T09:00:01Z,74407,7652,667,27.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,_d5XUNJrVtk,Core는 과열돼🔥🚨 #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #shorts,2025-11-07T03:00:10Z,357040,16402,504,48.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,bTwzHSA5r-E,애초에 Nameless 의미는 Fearless 이게 내 Progress 🖤 #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #shorts,2025-11-07T03:00:07Z,333243,14102,387,43.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,mtDIoKhxZ1U,지구를 부탁해! 🤖🌏 #이세계아이돌 #ISEGYEIDOL #BeMyLight #Nameless #shorts,2025-11-07T03:00:04Z,87903,8618,296,60.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,IA9EiPlwKto,세돌이들과 함께라면 두려움 따위는 없을거야 💫 #이세계아이돌 #ISEGYEIDOL #BeMyLight #Nameless #shorts,2025-11-07T03:00:01Z,224300,9575,251,30.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,fff8P0kYexQ,이세계아이돌(ISEGYE IDOL) 'Nameless' Official Performance MV,2025-11-06T09:00:02Z,3957673,35260,6036,190.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,euZvZOapmx4,[이세계아이돌] Be My Light COMEBACK LIVE! 💫,2025-11-03T12:45:36Z,195819,11985,292,9004.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,hB8C1FvgGek,이세계아이돌(ISEGYE IDOL) 'Nameless (Instrumental)' (Official Audio),2025-11-03T10:11:58Z,31609,2145,82,185.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,g3lDhw6TzHI,이세계아이돌(ISEGYE IDOL) 'Be My Light (Instrumental)' (Official Audio),2025-11-03T10:11:54Z,16839,1454,40,225.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,V6sbEUCKp7s,이세계아이돌(ISEGYE IDOL) 'MEMORY' (Official Audio),2025-11-03T10:11:40Z,69045,2145,83,216.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,42FCSSxlAqo,이세계아이돌(ISEGYE IDOL) 'ELEVATE' (Official Audio),2025-11-03T10:11:37Z,59156,1969,55,191.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,poeO7eDT_Xo,이세계아이돌(ISEGYE IDOL) 'Stargazers' (Official Audio),2025-11-03T10:11:35Z,49299,1962,55,219.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,97b2L28I5Yg,이세계아이돌(ISEGYE IDOL) 'Nameless' (Official Audio),2025-11-03T10:11:32Z,148796,5601,405,185.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,s7o-GM9Ga4Q,이세계아이돌(ISEGYE IDOL) 'Be My Light' (Official Audio),2025-11-03T10:11:27Z,57627,2588,89,225.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,3cEUPoPXz7E,이세계아이돌(ISEGYE IDOL) 'Be My Light' Official MV,2025-11-03T09:00:06Z,3604991,29038,7639,226.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,mZF2bDGc74E,이세계아이돌(ISEGYE IDOL) 'Be My Light' MV Teaser 2,2025-10-30T15:00:01Z,91035,6660,918,19.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,ZdkZpzP_SIY,(SUB) 이세계아이돌(ISEGYE IDOL) 서열정리 합니다. | ISEGYE IDOL Highlight,2025-10-30T05:30:21Z,154591,9611,674,698.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,Riq4dZIWf8o,이세계아이돌(ISEGYE IDOL) 'Be My Light' MV Teaser 1,2025-10-17T15:00:03Z,96463,7119,903,14.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,tQM8RpT6rpg,이세계아이돌(ISEGYE IDOL)이 전하는 2025 추석 인사,2025-10-05T09:01:18Z,97203,10679,1388,81.0,LONG
PLAVE,plave_official,B2RWZ_sw0G8,[PLAVE BIRTHDAY GIFT] NOAH's Playlist 🎶💜,2026-02-03T01:00:10Z,41964,9137,745,569.0,LONG
PLAVE,plave_official,xdz0eKgsxYU,플리 저 땄어요! 밤비🍑👨‍🎓 N2 땄어요! 트민남 플레이브 넘나 좋은 것^^😍💙💜🩷❤️🖤 | #플레이브 PLAVE | PLAVE Live Full Ver.,2026-02-02T13:35:24Z,118347,9792,252,8116.0,LONG
PLAVE,plave_official,hEd2atF-hI8,Love Love Love ·°♡ #PLAVE #플레이브 #shorts,2026-02-01T03:00:51Z,171968,20318,573,15.0,SHORT
PLAVE,plave_official,f5KabjD3A5o,아스테러너들 모여~!🏃 수장즈의 테일즈런너👟 라이브💙💜🩷| #플레이브 PLAVE | Yejun & Noah & Bamby Live Full Ver.,2026-01-29T13:53:31Z,138887,9617,330,9301.0,LONG
PLAVE,plave_official,f1toyQusDiA,gameboy 🎮 #PLAVE #플레이브 #YEJUN #EUNHO #예준 #은호 #shorts,2026-01-28T10:00:10Z,134449,19588,512,18.0,SHORT
