동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@dajhon-e9u,실제 인간에 상처 받은 자들이 인류애를 상실하고 극단적으로 동물을 애호하는 자들처럼 더 나아가 가상인물을 좋아하게 되는 이 비정상적인 정신착란은 사회성을 잃게 할 위험이 크고 정신적인 문제가 생기는 과정임.,3,2024-09-30T05:41:01Z,0,UgwBOVUZQzvbgwqE3d54AaABAg.A8tMF336BhXA9-QOMjVKZs,OT6uElfCI7o,UCCWivk30Q9yRmDJ9V1blMSg,2024-09-30T05:42:06Z,UgwBOVUZQzvbgwqE3d54AaABAg,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@DolphinAlpacaDeerWolfCat,"버추얼이라서 좋아한 거 아니고 좋아하고 보니 버추얼이었다고 팬들은 많이 말하죠.
노래 좋고,  라방 재밌고, 멤버들의 음악에 대한 진심까지 있으니 마음이 저절로 갈 수 밖에 없었슴다. 평생 플리하고 싶어요!!",951,2024-09-27T12:36:05Z,4,UgwXVEWPvmxDis5z_N94AaABAg,OT6uElfCI7o,UCe-zeuDRL8R4Dk1j-Q25WoA,2024-09-27T12:36:05Z,,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@aneounghaseyo,"이게 맞지 나도 그렇게 좋아하게됨
근데 버츄얼이라고 무지성으로 욕하는건 좀 멈춰줬으면..너무 많아..",12,2024-09-30T17:47:21Z,0,UgwXVEWPvmxDis5z_N94AaABAg.A8tRVrOGOm0A90iWAx6QjX,OT6uElfCI7o,UCCyKDUtdsdYgjPISteZW9Xw,2024-09-30T17:47:21Z,UgwXVEWPvmxDis5z_N94AaABAg,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@kianj5406,아니 그냥 이뻐서 좋아하게 된 다음에 다른부분도 알게 된 거잖아 그게 나쁜것도 아닌데 왜 숨김?ㅋ,2,2024-10-02T09:54:27Z,0,UgwXVEWPvmxDis5z_N94AaABAg.A8tRVrOGOm0A950zJfi54a,OT6uElfCI7o,UCJezS64JBBGRNlYtpi4ZCpg,2024-10-02T09:54:27Z,UgwXVEWPvmxDis5z_N94AaABAg,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@Arianna-h3c,​@kianj5406 보다보면 익숙해짐,1,2024-10-02T18:07:39Z,0,UgwXVEWPvmxDis5z_N94AaABAg.A8tRVrOGOm0A95uQfENWvH,OT6uElfCI7o,UCvvuoyiwrwD0OEMmw28222w,2024-10-03T04:43:42Z,UgwXVEWPvmxDis5z_N94AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@sloth_0304,@piter-h7oㅇㄱㄹㅇ 그냥 죽은 시체들이라고 생각함,0,2024-10-05T17:16:40Z,0,UgwXVEWPvmxDis5z_N94AaABAg.A8tRVrOGOm0A9DXyqDw79r,OT6uElfCI7o,UCbuipBYN7vrAiAVh7nmxYrw,2025-05-11T17:57:33Z,UgwXVEWPvmxDis5z_N94AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@kimmatilda,오늘 오픈한 카페 모습이 나올줄이야ㅋㅋㅋ 플레이브 테라정복 라쓰고🫶,499,2024-09-27T11:45:31Z,0,UgyLFbwZRvHWXGdnOUB4AaABAg,OT6uElfCI7o,UCafb-Kg3UfH_meqZQsvA6Ag,2024-09-27T11:45:40Z,,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@liiilliilll,가수의 본질인 음악에 집중하게 만들어주는 플레이브! 항상 응원합니다🤍,255,2024-09-27T11:50:37Z,0,UgzOXSZWsZ-Iuc5VVzt4AaABAg,OT6uElfCI7o,UC-epc95vJ74alDaR0N0mPsQ,2024-09-27T11:50:37Z,,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@pokemon_harooka,버추얼이라 좋아한게 아니라 좋아하고보니 버추얼이였다.,252,2024-09-27T13:40:07Z,4,UgwxirMmT0j2HBc2d614AaABAg,OT6uElfCI7o,UCTwzeDnDN4bN7UMhdLWisZQ,2024-09-27T13:40:07Z,,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@wolf1004roy,진짜 완전 저….🥹🥹,0,2024-09-29T12:09:51Z,0,UgwxirMmT0j2HBc2d614AaABAg.A8tYprv70vDA8yY5MfZ77u,OT6uElfCI7o,UC-ATubZUs1oppGAg9P2PCiQ,2024-09-29T12:09:51Z,UgwxirMmT0j2HBc2d614AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@chaena_u,이게 맞다!!,0,2024-10-07T14:38:08Z,0,UgwxirMmT0j2HBc2d614AaABAg.A8tYprv70vDA9IPQRtDP1d,OT6uElfCI7o,UCK48nVjOAs742Ya2vQPWwMw,2024-10-07T14:38:08Z,UgwxirMmT0j2HBc2d614AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@앤드류-2class_agent,"나도 어쩌다 심장을 얻어맞았고 그게 버추얼이었다.
(옆동네 사람)",0,2025-04-20T11:23:56Z,0,UgwxirMmT0j2HBc2d614AaABAg.A8tYprv70vDAH8AClDXRIC,OT6uElfCI7o,UC20lZ2fjx68Edt6YvxHmY1g,2025-04-20T11:23:56Z,UgwxirMmT0j2HBc2d614AaABAg,중립
