동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@모락산돌이끼,간절함과 감사함을 잘아는 멤버들 피00피00 랑 너무 대조적 ㅎ 근데 얘넨 정말 전국공연 4시간내로 다돌것다 ㅎㅎㅎ,0,2023-10-05T03:43:40Z,0,UgwdpMNXfmK3kav9rWR4AaABAg,S1bcy4h1mS8,UCleyBPaThITAu17Wu23rAxw,2023-10-05T03:45:14Z,,긍정
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@포켓몬애호가-d2g,이미 왁물원에 올라가서 돚거가 되고있는 중일 영상ㅋㅋㅋ,0,2023-10-02T07:13:22Z,0,Ugz66bZenKGaBqoAo9p4AaABAg,S1bcy4h1mS8,UCnV48krzRFpXhL7edNx8lsQ,2023-10-02T07:13:22Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@LEEENO111,킹아~,2,2023-11-12T16:18:57Z,0,Ugzkx34sAMwlhKCpb0t4AaABAg,S1bcy4h1mS8,UCZKeiX2HVkbtHO62MpcQD6w,2023-11-12T16:18:57Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@NaraHaraNe,역시 이세돌 내가 좋아하는 이유가 있어,1,2023-10-15T11:06:12Z,0,UgxOhEwYg0fPCcWvg9x4AaABAg,S1bcy4h1mS8,UChw-pkuZ19YJp1P1Agsi1-Q,2023-10-15T11:06:12Z,,긍정
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@user-rv9px6rx5i,킹아ㅜㅠㅠㅠㅜㅜㅜ,1,2024-07-22T23:22:22Z,0,Ugwfgzx0ivPrVtbOauV4AaABAg,S1bcy4h1mS8,UCwcZkCS2Ie8jRJKwYVP_O0A,2024-07-22T23:22:22Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@DuRuWow,"소통이 가장 큰 장점이자 단점임...
근간이 개인방송인지라 단체보단 개인 활동의 성격이 강해서 현생이 바빠질 시기 유튭 좀만 못 들어와도 멤버6명, 왁굳튜브, 왁타버스 8개 채널에 영상이 수 십개씩 쌓여버리니 따라가기가 너무 벅차서 점점 놓게 되는거 같음",4,2024-07-28T22:41:55Z,1,Ugwdty7bqtR4HRq4_ct4AaABAg,S1bcy4h1mS8,UC9Twi9wIRvxmUMm3MF876kQ,2024-07-28T22:41:55Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@Sdfvcx,ㅇㄱㄹㅇ,1,2024-07-29T13:22:53Z,0,Ugwdty7bqtR4HRq4_ct4AaABAg.A6SSLgV2ctfA6U1A751vd6,S1bcy4h1mS8,UCAHCRyjtJegvYkUCZ18tCbQ,2024-07-29T13:22:53Z,Ugwdty7bqtR4HRq4_ct4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@viewer28,캬... 이거야,1,2023-10-05T01:14:10Z,0,UgyTmbyanpKUBEhPqzp4AaABAg,S1bcy4h1mS8,UCNIHX8GirmkZ7taaXRaTKzw,2023-10-05T01:14:10Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@cho_tech,크ㅡㅡㅡㅡ 역시 우리의 아이네! 밑고 있었다고!💜,2,2023-10-18T15:35:06Z,0,UgxYNbrxLJR_m9Ou9NZ4AaABAg,S1bcy4h1mS8,UC9X55kQ5Rr2e31ooGE5ldtA,2023-10-18T15:35:06Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@hungry_white,오영택.. 인간에서 신이 된 남자..  그는 신이 된 이후 이세돌이라는 천사를 탄생시켰다..,0,2023-10-01T14:42:53Z,0,Ugw_QwiR3_deCKZeADd4AaABAg,S1bcy4h1mS8,UC8t43-mRtM9TJkmpxyVWyfw,2023-10-01T14:42:53Z,,중립
