동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@왹예인-0301,인간이 찢었다,0,2025-05-09T07:41:53Z,0,UgxyPcA323PcVkUHltp4AaABAg,qOB5sIujPH8,UCjFdWHzTyRKgWzyExKXQ7JQ,2025-05-09T07:41:53Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@Elek-v6c,누군가 말했다 두꺼비집 내리면 1타5피라고,0,2025-04-30T07:01:23Z,0,Ugw_U7frBS-jl4Kuxh14AaABAg,qOB5sIujPH8,UCHxv2SEA4KBS82OkAxos5Ow,2025-04-30T07:01:23Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@Sibasinu,문화 존중은 하는데 노래를 좋아할 순 있는데 왜 사람이 아닌 2D 버츄얼 캐릭터를 오빠라고 부르면서 사람인냥 덕질하는거지?,0,2025-05-01T18:58:04Z,0,Ugy3IdZx4MkyrFC0UpZ4AaABAg,qOB5sIujPH8,UCn4M6fbNBYm54DB8jQ4ujWw,2025-05-01T18:58:04Z,,긍정
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@mireinet,임마 다~~~ 해 봤어 으잉,0,2025-04-30T03:35:24Z,0,UgydS4lCBs1iVFNSBJ14AaABAg,qOB5sIujPH8,UCA7AYKGiWvd0nNvJhj30VhA,2025-04-30T03:35:24Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@호박-z4u,응 느그 오빠 인터넷 선 끊으면 퇴장 1초컷이고 신상 다 까발려짐,1,2025-04-29T22:35:58Z,0,UgznyS4PlWEe_bmRDdx4AaABAg,qOB5sIujPH8,UCFxI4hR7aLaoOEqg7xOLs-w,2025-04-29T22:35:58Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@박영재-t7y,컴터끄면 전☆멸☆,0,2025-05-06T08:57:20Z,0,UgzwQZQ4XN1FA3Drzx14AaABAg,qOB5sIujPH8,UCDSHXvP8PEGszkBHCMGmd2Q,2025-05-06T08:57:20Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@user-rr5jy7xz6x,인스타 댓글이랑은 완전 딴판이네,0,2025-10-14T22:34:23Z,0,UgwKh8toluT8xmiojIB4AaABAg,qOB5sIujPH8,UCC6qaniOMSTIdjncyoT7HgA,2025-10-14T22:34:23Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@스껄-s5v,하하 저희 아이돌도 있어요 ㅎㅎ,0,2025-04-29T10:26:39Z,0,UgzlWfLzvF9mC6lGezd4AaABAg,qOB5sIujPH8,UC1uLY1J2E_BqyB2-Sc5AaTg,2025-04-29T10:26:47Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@김김-q6q4f,버육수들 통한의 비추 ㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-05-13T11:20:57Z,0,UgxYpYKnNnIFvTMCzEB4AaABAg,qOB5sIujPH8,UCszZIVK9BWIlUCFfQFbBsGw,2025-05-13T11:20:57Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@SPINAIR,RAP GOD....,0,2025-07-14T15:19:22Z,0,UgzkuX6jJ5jOHJWQc8h4AaABAg,qOB5sIujPH8,UCaO4KU237V9gUIHYQ6BB61Q,2025-07-14T15:19:22Z,,중립
