,nouns
fff8P0kYexQ,['사랑']
fff8P0kYexQ,
fff8P0kYexQ,"['볼때', '우리', '직접', '감격']"
fff8P0kYexQ,"['돌이', '조종', '공주', '마마']"
fff8P0kYexQ,"['부분', '대파']"
fff8P0kYexQ,['노래']
fff8P0kYexQ,['매일']
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,['네임리스']
fff8P0kYexQ,"['갑자기', '유입', '좋아츄릅']"
fff8P0kYexQ,
fff8P0kYexQ,['예나']
fff8P0kYexQ,"['노래', '왜케좋']"
fff8P0kYexQ,"['종결', '초토화']"
fff8P0kYexQ,['노래']
fff8P0kYexQ,"['궂징', '버거', '결혼']"
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,['노래']
fff8P0kYexQ,"['카메라', '사랑']"
fff8P0kYexQ,"['포브스', '선정', '야근', '퇴근', '기운', '노래']"
fff8P0kYexQ,
fff8P0kYexQ,['최고']
fff8P0kYexQ,"['비챤파트', '주르르', '목소리']"
fff8P0kYexQ,
fff8P0kYexQ,"['카메라', '감독', '누구', '맘속', '노벨상', '드림']"
fff8P0kYexQ,"['오늘', '네임리스']"
fff8P0kYexQ,
fff8P0kYexQ,['노래']
fff8P0kYexQ,"['새벽', '출근', '네임리스']"
fff8P0kYexQ,
fff8P0kYexQ,['왜발']
fff8P0kYexQ,
fff8P0kYexQ,"['완전', '진자', '감동', '선율', '엉엉', '엉엉']"
fff8P0kYexQ,"['여러분', '요즘', '최대', '고민', '최애', '못정']"
fff8P0kYexQ,"['중독', '시험', '기간', '금지곡']"
fff8P0kYexQ,"['섹시', '망상']"
fff8P0kYexQ,"['안보', '사람', '이번']"
fff8P0kYexQ,"['진짜', '버거']"
fff8P0kYexQ,['비챤']
fff8P0kYexQ,"['다시', '입덕', '노래', '진짜']"
fff8P0kYexQ,"['음향', '테스트', '디스플레이', '테스트', '영상', '영상', '블랙', '광원', '효과', '디스플레이', '효과', '테스트', '베이스', '빵빵', '스피커', '테스트', '노래', '진짜', '영상']"
fff8P0kYexQ,"['처음', '충격', '댓글', '수가', '배경', '전환', '카메라', '무빙', '퍼포먼스', '비디오', '뮤직비디오', '느낌', '수가', '생각', '옛날', '보카로']"
fff8P0kYexQ,
fff8P0kYexQ,"['오늘', '클릭']"
fff8P0kYexQ,"['아주', '그냥']"
fff8P0kYexQ,"['무지개', '노초', '파남보', '주황', '주르르', '노랑', '버거', '초록', '비챤', '파란', '세구', '남색', '릴파', '보라', '아이', '아마', '굳이']"
fff8P0kYexQ,"['왤케', '세구', '언니', '파트', '사과']"
fff8P0kYexQ,['노래']
fff8P0kYexQ,"['오늘', '네임리스']"
fff8P0kYexQ,"['아이아이', '밍러너러', '러안러캉']"
fff8P0kYexQ,"['도대체', '얼마나', '연습', '효녀', '진짜', '효녀', '아이', '진쫘']"
fff8P0kYexQ,"['이파리', '네임리스', '유튜브', '뮤비', '멜론', '스포티파이', '애플', '뮤직', '유튜브', '뮤직']"
fff8P0kYexQ,"['하루', '시작', '클릭']"
fff8P0kYexQ,"['도대체', '노래', '몇번', '카리스마', '홀린', '느낌', '이군']"
fff8P0kYexQ,"['세구', '파트']"
fff8P0kYexQ,"['세구', '파트']"
fff8P0kYexQ,"['사랑', '우주', '정복']"
fff8P0kYexQ,"['최애', '갱신']"
fff8P0kYexQ,"['릴파님', '양갈래', '빼빼로']"
fff8P0kYexQ,"['음악', '안무', '세계', '아이돌', '입장']"
fff8P0kYexQ,"['얼굴', '그림자']"
fff8P0kYexQ,['느낌']
fff8P0kYexQ,
fff8P0kYexQ,['아위']
fff8P0kYexQ,
fff8P0kYexQ,"['세구', '파트']"
fff8P0kYexQ,['종결']
fff8P0kYexQ,"['학년', '김지민']"
