,nouns
bltjk6NfDQM,"['엠빝', '맥아', '헤르', '쯔호', '추리', '허무', '늼니다혜', '숙기', '실시']"
bltjk6NfDQM,['머리띠']
bltjk6NfDQM,"['원영', '파트', '거의']"
bltjk6NfDQM,"['이서', '발음', '이서', '윙크', '치명', '공격']"
bltjk6NfDQM,"['아이브', '일만', '진짜', '누가', '논란']"
bltjk6NfDQM,"['리즈', '머리', '치즈']"
bltjk6NfDQM,['리즈']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['카메라', '실수']"
bltjk6NfDQM,['쵸우']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '벌써', '시간', '진짜', '간다']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['장원영', '사랑']"
bltjk6NfDQM,['아이브']
bltjk6NfDQM,"['너비', '그룹', '조디', '폐기', '완성', '하드', '소프트', '부문', '포함', '연결', '기술', '인맥', '시스템', '최초', '개발', '압수', '도용', '형벌', '합산', '리머', '카노', '콱뜰', '기술', '일후', '타이', '몰래', '당사자', '암수', '숫수', '컷둘녀', '간통', '연락처', '말라가', '적금', '달라', '귀가', '후부', '부간', '애정', '오이', '실시']"
bltjk6NfDQM,"['이서', '프로']"
bltjk6NfDQM,"['벌써', '전이', '시간', '간다', '데뷔', '아이브', '항상', '얼굴', '다이브', '힐링', '미래', '아이브', '항상', '다이브', '생각', '악플', '상처', '아이브']"
bltjk6NfDQM,
bltjk6NfDQM,"['리즈', '리즈시절']"
bltjk6NfDQM,"['이서', '리리', '코인']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['진짜', '무대', '아이브', '일레븐', '음방', '무대', '가장', '레전드']"
bltjk6NfDQM,
bltjk6NfDQM,"['지구', '가장', '아이돌', '노래']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['카메라', '감독', '진짜', '전문직', '자산', '스카웃', '인재']"
bltjk6NfDQM,"['노래', '완전', '최고']"
bltjk6NfDQM,"['진심', '원영', '최고']"
bltjk6NfDQM,"['장원영', '최고', '장원영', '완잔', '장원영', '사랑']"
bltjk6NfDQM,
bltjk6NfDQM,['노래']
bltjk6NfDQM,['이뽀']
bltjk6NfDQM,
bltjk6NfDQM,"['장원영', '언니', '팬팁', '보임']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['유독', '이서', '가까이', '카메라']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,['진짜']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['우리', '아기', '이서', '레이', '보기']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '레전드']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['얼굴', '빡샷', '원영', '가을', '선배', '리즈', '음색', '유진', '노래', '미모', '완벽', '레이', '실력', '음색']"
bltjk6NfDQM,['언니']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['충격', '일본', '국가대표', '발전', '여자', '학부', '보불툭', '노출', '팬티', '착용', '높이뛰기', '후편']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['어힌', '나이', '단어']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['대박', '원영']"
bltjk6NfDQM,"['레이', '이서', '귑분']"
bltjk6NfDQM,"['진짜', '멋지댜']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['와우', '리즈', '리즈', '완전', '대박', '원영', '유진', '가을', '레이', '이서']"
bltjk6NfDQM,
bltjk6NfDQM,['사랑']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['세대', '걸그룹', '이브', '시작', '상임']"
bltjk6NfDQM,
bltjk6NfDQM,['리즈']
bltjk6NfDQM,"['리즈', '존예', '도입', '몰입', '산다']"
bltjk6NfDQM,['카감']
bltjk6NfDQM,
bltjk6NfDQM,"['아이브', '음악', '리즈', '심해', '스타']"
bltjk6NfDQM,
bltjk6NfDQM,"['치겨', '줘는뎈']"
bltjk6NfDQM,['좋댜']
bltjk6NfDQM,
bltjk6NfDQM,['리즈']
bltjk6NfDQM,"['이서현', '카메라', '가까이']"
bltjk6NfDQM,
bltjk6NfDQM,['이모']
bltjk6NfDQM,"['부다', '이부', '부아']"
bltjk6NfDQM,"['아이브', '사랑']"
