,keywords
T_gJpnjJsnk,"['노래', '진짜', '진짜']"
T_gJpnjJsnk,"['노래', '안좋다', '없다', '상보', '재밌다', '미도', '좋다', '심지어', '잘생기다', '좋아하다', '이유', '없다']"
T_gJpnjJsnk,"['레이브', '무대', '세상', '음중']"
T_gJpnjJsnk,"['데뷔초', '특유', '그림', '잘생기다', '예준', '밤비', '노아', '이쁘다']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['한번', '인생', '레이브', '사랑']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['세상', '완벽하다', '아이돌', '존재']"
T_gJpnjJsnk,"['눈물', '좔좔']"
T_gJpnjJsnk,"['은호', '레전드']"
T_gJpnjJsnk,"['효땜', '노래', '진짜', '좋다']"
T_gJpnjJsnk,
T_gJpnjJsnk,['사랑']
T_gJpnjJsnk,['행복하다']
T_gJpnjJsnk,"['데뷔', '무대', '고트', '무대', '영원하다', '여기', '연어']"
T_gJpnjJsnk,"['밤비', '진짜', '감동', '있다', '언제', '좋다']"
T_gJpnjJsnk,"['좋다', '역시']"
T_gJpnjJsnk,"['노아', '헬로', '입덕', '여전하다']"
T_gJpnjJsnk,"['뭔가', '같다', '데뷔', '너희', '길다', '생각', '새롭다', '역사', '있다', '너희', '대박', '빌보드', '후의', '너희', '진짜', '최고', '대로', '어제', '복숭아', '태고', '대결', '예준', '진짜', '대로', '축하']"
T_gJpnjJsnk,"['솔직하다', '노아', '옆태', '잘생기다', '입덕']"
T_gJpnjJsnk,"['예준', '마지막', '이쁘다', '아니다']"
T_gJpnjJsnk,"['플리', '애니메이션', '보임', '플리', '사람', '보임', '신기하다', '거임', '플리']"
T_gJpnjJsnk,"['무대', '플브', '인생', '바치', '지금', '레전드']"
T_gJpnjJsnk,"['시간', '진짜', '빠르다', '역대', '데뷔', '벌써', '케이팝', '역사', '길이', '라베', '고맙다']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['봉구', '사랑']"
T_gJpnjJsnk,"['노래', '좋아하다', '말레이시아', '출신', '그룹', '응원', '열정']"
T_gJpnjJsnk,"['감회', '새롭다', '미치다']"
T_gJpnjJsnk,"['이쁘다', '구만', '입덕', '일찍']"
T_gJpnjJsnk,
T_gJpnjJsnk,
T_gJpnjJsnk,"['아담', '기억', '있다', '런가', '신기하다', '기술', '발전', '대단하다', '좋아하다', '약간', '있다', '단순하다', '영상', '잠도', '상보', '댓글', '같다', '루트', '무섭다', '외계인']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['입덕', '한지', '개월', '누군가', '길다', '짧다', '기간', '동안', '사랑', '처음', '풋풋하다', '느낌', '사랑']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['대쉬', '청순하다', '풋풋하다']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['인생', '최대', '실수', '입덕', '진짜', '포기', '다른', '형태', '날개', '감동']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['안녕', '플리', '너희', '잠깐', '그게', '바로', '레이브']"
T_gJpnjJsnk,"['사분', '영상', '하나', '사십분']"
T_gJpnjJsnk,"['여기', '진짜', '좋다']"
T_gJpnjJsnk,"['데뷔', '무대', '처음', '파트', '소리']"
T_gJpnjJsnk,"['플리', '다시', '한번', '실천', '안녕', '플리', '너희']"
T_gJpnjJsnk,"['버추', '좋아하다', '아니다', '좋아하다', '버추', '힘드다', '이해', '가수', '있다', '있다', '이해', '힘들다', '존중']"
T_gJpnjJsnk,"['진짜', '좋다', '억울하다', '원망하다']"
T_gJpnjJsnk,
T_gJpnjJsnk,
T_gJpnjJsnk,"['데뷔', '주년', '축하', '주년', '기념', '방문', '우리', '레이브', '동안', '시간', '동안', '힘들다', '기도', '부담', '기도', '그렇다', '모습', '플리', '사랑', '표현', '고맙다', '가장', '혼란', '시기', '레이브', '레이브', '덕분', '용기', '새롭다', '도전', '레이브', '좋아하다', '행운', '이자', '같다', '레이브', '일찍', '입덕', '다행', '생각', '레이브', '가수', '후회되다', '자랑스럽다', '우리', '좋다', '추억', '데뷔', '고맙다']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['레이브', '데뷔', '주년', '축하', '우리']"
T_gJpnjJsnk,"['무대', '아름답다', '텅빈', '아스테룸', '이동', '다시', '소름', '무대', '우뚝', '밤비', '무대', '테라', '여정', '시작', '고맙다', '너희', '여정', '쭈욱']"
T_gJpnjJsnk,"['주년', '기념', '시청']"
T_gJpnjJsnk,"['주년', '축하', '레이브', '행운', '생각', '요플레', '이브', '요즘', '행복하다', '하루하루', '레이브', '플리', '매일', '행복', '행운', '가득하다', '하루']"
T_gJpnjJsnk,"['레이브', '데뷔', '주년', '기념', '처음', '무대', '영상', '신기하다', '느낌', '가득하다', '벌써', '주년', '맞이', '많다', '추억', '신비롭다', '경험', '있다', '레이브', '고맙다', '사랑']"
T_gJpnjJsnk,"['레이브', '데뷔', '주년', '축하', '가나', '주년', '기념', '데뷔', '고맙다']"
T_gJpnjJsnk,"['데뷔', '주년', '무대', '처음', '바로', '덕통', '사고', '심장', '여전하다', '최애', '없다', '같다']"
T_gJpnjJsnk,"['주년', '데뷔', '무대', '다시', '축하', '복덩이']"
T_gJpnjJsnk,"['데뷔', '주년', '축하', '너희', '기다림', '덕분', '우리', '주년', '축하', '있다', '기다림', '아니다', '사랑']"
T_gJpnjJsnk,"['레이브', '데뷔', '주년', '축하']"
T_gJpnjJsnk,"['무대', '다시']"
T_gJpnjJsnk,"['자만', '레이브', '고맙다']"
T_gJpnjJsnk,"['입덕', '인도', '레이브', '무대', '비록', '달이', '발견', '바로', '입덕', '얼마나', '다행']"
T_gJpnjJsnk,"['오늘', '숙제', '좋다', '다가', '다시', '숙제']"
T_gJpnjJsnk,"['호가', '플레이', '디오', '달라', '회수']"
T_gJpnjJsnk,"['데뷔', '무대']"
T_gJpnjJsnk,"['유명하다', '아국']"
T_gJpnjJsnk,['시간']
T_gJpnjJsnk,"['남예준', '아니다', '무릎']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['관심', '없다', '한번', '없다', '매력', '넘치다']"
T_gJpnjJsnk,"['우주', '같다', '공간', '미치다', '생각']"
T_gJpnjJsnk,"['좋아하다', '모먼트', '안무', '예쁘다', '무슨', '느낌', '여기', '좋다', '은호', '노래', '좋다', '무대', '배경', '이쁘다']"
T_gJpnjJsnk,"['진짜', '레전드', '무대']"
T_gJpnjJsnk,['최애']
T_gJpnjJsnk,"['지금', '레이브', '억만장자']"
T_gJpnjJsnk,['밤비']
T_gJpnjJsnk,"['다시', '게로', '컴백', '안되다', '역주행']"
T_gJpnjJsnk,
