,keywords
qOB5sIujPH8,['웃기']
qOB5sIujPH8,['있다']
qOB5sIujPH8,['웃곀']
qOB5sIujPH8,['이렇다']
qOB5sIujPH8,"['만원', '내면', '해외여행', '공짜']"
qOB5sIujPH8,['웃기']
qOB5sIujPH8,"['자랑', '있다', '얼마']"
qOB5sIujPH8,['가사도']
qOB5sIujPH8,['아잌']
qOB5sIujPH8,"['초등학생', '끼리', '정수기', '얼음', '느낌', '귀엽다']"
qOB5sIujPH8,"['꼼쭈리악', '귀엽다', '사람', '굳이', '해명', '같다', '억울하다', '이렇다', '하나', '하나', '오히려', '피곤하다', '사람', '많다']"
qOB5sIujPH8,['꼼쭈리']
qOB5sIujPH8,['웃기']
qOB5sIujPH8,"['버츄얼', '웃기']"
qOB5sIujPH8,"['하이픈', '상임']"
qOB5sIujPH8,['진짜']
qOB5sIujPH8,"['따끈따끈', '베이커리', '하늘']"
qOB5sIujPH8,
qOB5sIujPH8,['웃기']
qOB5sIujPH8,"['그거', '있다', '완전하다']"
qOB5sIujPH8,"['어우', '바이럴', '마케팅', '개꿀']"
qOB5sIujPH8,
qOB5sIujPH8,"['버츄', '부자연스럽다', '사람', '자연스럽다']"
qOB5sIujPH8,"['하모니', '있다', '죽지', '소년', '불사조']"
qOB5sIujPH8,['진짜']
qOB5sIujPH8,"['이렇다', '지라', '댓글']"
qOB5sIujPH8,
qOB5sIujPH8,['상상']
qOB5sIujPH8,
qOB5sIujPH8,"['아니다', '빅뱅', '없다']"
qOB5sIujPH8,"['공중부양', '인간', '공중부양', '에스엠', '입사', '사람', '이다']"
qOB5sIujPH8,"['개그맨', '아니다']"
qOB5sIujPH8,
qOB5sIujPH8,"['오빠', '단지', '군대', '가야']"
qOB5sIujPH8,"['빅뱅', '롤러스케이트']"
qOB5sIujPH8,
qOB5sIujPH8,"['투바', '있다']"
qOB5sIujPH8,"['장난', '쉬는시간', '비걸', '화장실', '아니다']"
qOB5sIujPH8,"['고요', '체험']"
qOB5sIujPH8,
qOB5sIujPH8,"['진짜', '보법', '달라']"
qOB5sIujPH8,['좋다']
qOB5sIujPH8,"['만리', '초능력', '신기하다', '능력', '사임', '빙글뱅글', '뮤비']"
qOB5sIujPH8,"['조용하다', '덕질', '만하', '자서', '디스', '생각']"
qOB5sIujPH8,"['제자', '입장', '뭔가', '어이없다']"
qOB5sIujPH8,"['이제', '두꺼비', '펜타킬']"
qOB5sIujPH8,"['보고', '사람', '너희', '오빠', '컴퓨터', '전원']"
qOB5sIujPH8,"['저희', '희다', '순간이동', '가능']"
qOB5sIujPH8,
qOB5sIujPH8,
qOB5sIujPH8,"['버추', '허경영', '했단닼']"
qOB5sIujPH8,['댓글']
qOB5sIujPH8,"['다른', '장르', '진짜', '이해', '이해', '사람', '존중', '끼리', '끼리', '얼마나', '좋다']"
qOB5sIujPH8,"['본체', '캐릭터', '감안', '좋아하다', '캐릭터', '좋아하다', '실제', '아저씨', '거리', '웹툰', '그림', '잘생기다', '잘생기다', '아니다', '있다', '두꺼비', '드립', '재미없다', '아이디어', '오지', '항상', '드립', '똑같다']"
qOB5sIujPH8,"['지겹다', '참신하다', '가지', '오라', '어떻다', '전이', '지금', '드립', '똑같다']"
qOB5sIujPH8,"['아니다', '애초', '없다']"
qOB5sIujPH8,"['취존합니', '솔직하다', '재밌다']"
qOB5sIujPH8,"['아니다', '말투']"
qOB5sIujPH8,['웃기']
qOB5sIujPH8,"['인간', '아니다', '타팬', '조롱', '웃기', '마무리']"
qOB5sIujPH8,"['편집', '일반인', '물어', '어이없다']"
qOB5sIujPH8,"['명도', '아니다']"
qOB5sIujPH8,"['애니', '좋아하다', '씹덕', '많다', '버츄얼', '좋아하다', '씹덕', '많다', '거지', '요즘', '이렇다', '흔하다']"
qOB5sIujPH8,
qOB5sIujPH8,"['여름', '노래', '좋다']"
qOB5sIujPH8,
qOB5sIujPH8,"['버추', '조금', '잘못', '뭔가', '불쾌하다', '골짜기']"
qOB5sIujPH8,
qOB5sIujPH8,"['노아', '진짜', '귀엽다']"
qOB5sIujPH8,['둘이서']
qOB5sIujPH8,
qOB5sIujPH8,"['아니다', '다른', '팬덤']"
qOB5sIujPH8,"['자강', '두천']"
qOB5sIujPH8,"['버추', '기술', '뛰어나다', '사람']"
qOB5sIujPH8,
qOB5sIujPH8,"['노래', '좋다']"
qOB5sIujPH8,"['로켓', '펀쳐', '아마', '제노글로시', '해커', '보유']"
qOB5sIujPH8,"['영상', '이렇다']"
qOB5sIujPH8,"['엑소', '컨셉', '초능력']"
qOB5sIujPH8,['찢었닼']
qOB5sIujPH8,
qOB5sIujPH8,"['진짜', '해안가', '리그']"
qOB5sIujPH8,['있다']
qOB5sIujPH8,['노아']
qOB5sIujPH8,['사랑']
qOB5sIujPH8,
qOB5sIujPH8,"['뮤비', '아니다']"
qOB5sIujPH8,"['두꺼비', '펜타킬']"
qOB5sIujPH8,"['싸움', '다행', '있다', '자세하다', '싸움', '작작']"
qOB5sIujPH8,"['친구', '남돌', '좋아하다', '프레', '이브', '싸움', '친구', '그렇다', '팬싸', '통과', '친구', '좋아하다', '돌이', '자랑']"
qOB5sIujPH8,"['자기', '단군', '할아버지', '아니다', '돌판', '꺼드럭대는', '싫다', '돌판', '설립', '자신', '아니다']"
