title,company,location,scrape_date,scrape_time,title_raw,paren_raw,title_clean,seniority,work_mode,employment_type,role_group
Oracle DevOps Fusion Technical Senior,Johnson Controls,"Bengaluru, Karnataka, India",2025-07-16,12:48:58,Oracle DevOps Fusion Technical Senior,,oracle devops fusion technical senior,senior,unknown,unknown,devops_sre
Data Engineer,Andor Tech,"Mumbai, Maharashtra, India",2025-07-16,12:51:10,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,PayPay India,"Gurugram, Haryana, India",2025-07-16,12:51:10,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Senior AI Engineer,Xerago,"Chennai, Tamil Nadu, India",2025-07-16,12:51:10,Senior AI Engineer,,senior ai engineer,senior,unknown,unknown,ml_ai
DevOps Engineer,AiSensy,"Gurugram, Haryana, India",2025-07-16,12:51:10,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Senior  Cloud Engineer,Zenith Services Inc.,"Bengaluru, Karnataka, India",2025-07-16,12:51:10,Senior  Cloud Engineer,,senior cloud engineer,senior,unknown,unknown,cloud
Senior Data Engineer IICS- 7 years ( Immediate Joiner ),ResourceTree Global Services Pvt Ltd,"Chennai, Tamil Nadu, India",2025-07-16,12:51:10,Senior Data Engineer IICS- 7 years ( Immediate Joiner ),Immediate Joiner,senior data engineer iics 7 years,senior,unknown,unknown,data_engineering
Data Engineer-Python & Pyspark & GIS-Onsite Hyderabad-Long term contract,ideaHelix,"Hyderabad, Telangana, India",2025-07-16,12:52:16,Data Engineer-Python & Pyspark & GIS-Onsite Hyderabad-Long term contract,,data engineer python pyspark gis onsite hyderabad long term contract,unknown,onsite,contract,data_engineering
Azure Data Engineer,Nisum,"Hyderabad, Telangana, India",2025-07-16,12:52:16,Azure Data Engineer,,azure data engineer,unknown,unknown,unknown,data_engineering
Data Engineer(Strong Python & Pyspark Coding),ideaHelix,"Hyderabad, Telangana, India",2025-07-16,12:53:15,Data Engineer(Strong Python & Pyspark Coding),Strong Python & Pyspark Coding,data engineer,unknown,unknown,unknown,data_engineering
GCP Data Engineer,SiGa Systems,"Pune, Maharashtra, India",2025-07-16,12:53:15,GCP Data Engineer,,gcp data engineer,unknown,unknown,unknown,data_engineering
Lead Data Engineer,ClanX,"Mumbai, Maharashtra, India",2025-07-16,12:54:27,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer – Healthcare Domain Specialist,OptimHire,"Bengaluru, Karnataka, India",2025-07-16,12:54:34,Lead Data Engineer – Healthcare Domain Specialist,,lead data engineer healthcare domain specialist,senior,unknown,unknown,data_engineering
Data Engineer,Populace World Solutions,"Pune, Maharashtra, India",2025-07-16,13:03:22,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Business Intelligence Developer/Data Engineer,RAPIDD Technologies,"Bengaluru, Karnataka, India",2025-07-16,13:03:22,Business Intelligence Developer/Data Engineer,,business intelligence developer data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,Vserv Infosystems Private Limited,"Noida, Uttar Pradesh, India",2025-07-16,13:03:22,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer,VLink Inc,"Noida, Uttar Pradesh, India",2025-07-16,13:03:22,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
GCP Data Engineer,SiGa Systems,,2025-07-16,13:03:22,GCP Data Engineer,,gcp data engineer,unknown,unknown,unknown,data_engineering
Senior DevOps Engineer,Kombee,"Surat, Gujarat, India",2025-07-16,13:03:22,Senior DevOps Engineer,,senior devops engineer,senior,unknown,unknown,devops_sre
Lead Data Engineer-Python + Pyspark + AWS + GIS + Palantir-Onsite/Hyderabad,ideaHelix,"Hyderabad, Telangana, India",2025-07-16,13:03:22,Lead Data Engineer-Python + Pyspark + AWS + GIS + Palantir-Onsite/Hyderabad,,lead data engineer python pyspark aws gis palantir onsite hyderabad,senior,onsite,unknown,data_engineering
