,title,company,location,scrape_date,scrape_time
118,Sr. Data Engineer,Gartner,"Gurgaon, Haryana, India",2025-07-16,15:26:30
119,Senior Cloud Engineer II - SRE [T500-19212],Marriott Tech Accelerator,"Hyderabad, Telangana, India",2025-07-16,15:26:30
120,Data Engineer,Weekday AI (YC W21),"Bengaluru, Karnataka, India",2025-07-16,15:27:48
121,Sr. Data Engineer,Concord,"Pune, Maharashtra, India",2025-07-16,15:27:48
122,"AI Engineer ($25,000 - $75,000)",CodeRound AI,,2025-07-16,15:29:16
123,BI & Data Warehouse Data Engineer,Astellas Pharma,"Bengaluru, Karnataka, India",2025-07-16,15:29:16
124,Sr. Data Engineer,Gartner,"Chennai, Tamil Nadu, India",2025-07-16,15:29:16
125,Senior DevOps Engineer I,Planview,"Bengaluru, Karnataka, India",2025-07-16,15:29:16
126,Snowflake Data Engineer,PibyThree,"Pune, Maharashtra, India",2025-07-16,15:29:16
127,Jr. Cloud Engineer,Aptos Retail,"Bengaluru, Karnataka, India",2025-07-16,15:30:24
128,Data Engineer,Cummins India,"Pune, Maharashtra, India",2025-07-16,15:30:24
129,DevOps Intern,Vimaan,"Bengaluru, Karnataka, India",2025-07-16,15:30:24
130,Senior Systems Engineer - Data DevOps/MLOps,EPAM Systems,"Gurugram, Haryana, India",2025-07-16,15:31:29
131,Cloud Data Engineering - Databricks,Zensar Technologies,"Bengaluru, Karnataka, India",2025-07-16,15:32:46
132,Generative 3D AI Developer for BIM: India (Pune Preferred),NeoBIM GmbH,"Pune, Maharashtra, India",2025-07-16,15:32:46
133,Data Engineer,Thomson Reuters,"Hyderabad, Telangana, India",2025-07-16,15:33:59
134,"DevOps Engineer (Remote, Full-Time)",Smart Working,"Chennai, Tamil Nadu, India",2025-07-16,15:33:59
135,DevOps Engineer,Zipnom,"Hyderabad, Telangana, India",2025-07-16,15:33:59
136,Data Engineer III,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2025-07-16,15:33:59
137,Data Engineer,Logesys Solutions India Pvt. Ltd,"Bengaluru, Karnataka, India",2025-07-16,15:35:15
138,Software Engineer IV - Sr. Databricks ETL/Data Engineer,Candescent,"Hyderabad, Telangana, India",2025-07-16,15:35:15
139,Senior Data Engineer Job,YASH Technologies,"Pune, Maharashtra, India",2025-07-16,15:35:15
140,Senior Staff Software Development Engineer - DevOps,Zscaler,"Bengaluru East, Karnataka, India",2025-07-16,15:35:15
141,Data Engineer,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2025-07-16,15:35:15
142,"Senior Cloud Engineer, Cloud Platform",Kinaxis,"Chennai, Tamil Nadu, India",2025-07-16,15:35:15
143,Azure DevOps Engineer,Talent Crafters,"Remote, IN",2025-07-16,11:26:47
144,Junior Data Engineer,Zelestra,"Gurugram, Haryana, India",2025-07-16,11:26:47
145,Data Engineer (Bigdata + Java/Python),Visa,"Bengaluru, Karnataka, India",2025-07-16,11:26:47
146,DevOps Engineer - Noida,NeoXam,"Noida, Uttar Pradesh, India",2025-07-16,11:26:47
147,DevOps Engineer,LTIMindtree,"Pune, Maharashtra, India",2025-07-16,11:26:47
148,Senior Data Engineer,BitGo,"Bengaluru, Karnataka, India",2025-07-16,11:26:47
149,Staff Software Development Engineer - DevOps,Zscaler,"Bengaluru East, Karnataka, India",2025-07-16,11:26:47
150,Data Engineer,LORVEN SOFTTECH,"Bengaluru, Karnataka, India",2025-07-16,11:26:47
151,Sr Staff Cloud Engineer,GE HealthCare,"Bengaluru, Karnataka, India",2025-07-16,11:26:47
152,Senior Systems Engineer - Data DevOps/MLOps,EPAM Systems,"Bangalore Urban, Karnataka, India",2025-07-16,11:26:47
153,AI Engineer  (Computer Vision/ Data Science),DIMAAG,"Bangalore Urban, Karnataka, India",2025-07-16,11:26:47
154,"Senior Data Engineer - cloud data services - Python,Spark, Hadoop, Hive, Kafka",AutomatonsX,,2025-07-16,11:26:47
155,DevOps Engineer,Kotak Mahindra Bank,"Hyderabad, Telangana, India",2025-07-16,11:32:17
156,Platform DevOps Engineer (100% REMOTE),Live Nation Entertainment,"Gurugram, Haryana, India",2025-07-16,11:32:17
157,Member of Technical Staff (DevOps),ThoughtSpot,"Hyderabad, Telangana, India",2025-07-16,11:32:17
158,Associate Data Scientist,AlgoAnalytics,"Pune, Maharashtra, India",2025-07-16,11:32:17
159,DevOps Engineer,HID,"Chennai, Tamil Nadu, India",2025-07-16,11:32:17
160,DevOps Engineer,Movate,"Hyderabad, Telangana, India",2025-07-16,11:32:17
161,Data Engineer,Axcello Consulting Inc.,"Hyderabad, Telangana, India",2025-07-16,11:32:17
162,Senior Data Engineer-Hyderabad(Hybrid),Uplers,,2025-07-16,11:32:17
163,DevOps & Cloud Engineer,Violet Infosystems Private Limited,"MH, IN",2025-07-16,11:42:04
164,Principal DevOps Engineer,Autodesk,"KA, IN",2025-07-16,11:42:04
